reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Kafr Safra,NA,NA,SY02,SY0203,SY020302,C1449,NA,NA,NA,NA,36.427593,36.66183,Multipurpose - One time,Earthquake,249,1,1286,259,296,397,334,25,NA,83,1203,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,37350,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Koban,NA,NA,SY02,SY0203,SY020302,C7490,NA,NA,NA,NA,36.457256,36.671902,Multipurpose - One time,Earthquake,48,1,243,57,63,62,61,6,NA,19,224,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,7200,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Koran Jandris,NA,NA,SY02,SY0203,SY020302,C1447,NA,NA,NA,NA,36.43962,36.673392,Multipurpose - One time,Earthquake,225,0,1069,241,279,276,273,36,NA,90,979,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,33750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Ramadiyeh (Jandairis),NA,NA,SY02,SY0203,SY020302,C1422,NA,NA,NA,NA,36.399148,36.745457,Multipurpose - One time,Earthquake,113,1,604,129,153,172,150,13,NA,17,587,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,16950,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Western Eshkab,NA,NA,SY02,SY0203,SY020302,C1437,NA,NA,NA,NA,36.399226,36.63472,Multipurpose - One time,Earthquake,165,0,797,193,214,207,183,23,NA,59,738,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,24750,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Western Khaltan,NA,NA,SY02,SY0203,SY020302,C1436,NA,NA,NA,NA,36.480833,36.70773,Multipurpose - One time,Earthquake,68,1,352,84,94,81,93,12,NA,19,333,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,10200,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Kafr Takharim,Kafr Takharim,NA,NA,SY07,SY0703,SY070303,C4157,NA,NA,NA,NA,36.116497,36.51543,Multipurpose - One time,Earthquake,764,2,3859,894,966,1026,973,89,NA,195,3664,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,114600,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Kafr Takharim,Kafr Takharim,NA,NA,SY07,SY0703,SY070303,C4157,NA,NA,NA,NA,36.116497,36.51543,Multipurpose - One time,Earthquake,127,0,653,151,175,166,161,19,NA,14,639,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,19050,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Bhora,NA,NA,SY07,SY0700,SY070005,C3937,NA,NA,NA,NA,35.996993,36.603157,Multipurpose - One time,Earthquake,9,0,41,10,11,8,12,1,NA,0,41,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1350,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Hazano,NA,NA,SY07,SY0700,SY070005,C3944,NA,NA,NA,NA,36.089778,36.713577,Multipurpose - One time,Earthquake,412,3,2049,470,467,600,512,47,NA,180,1869,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,61800,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kafr Jales,NA,NA,SY07,SY0700,SY070005,C3945,NA,NA,NA,NA,35.975873,36.614218,Multipurpose - One time,Earthquake,8,0,47,8,8,16,15,0,NA,8,39,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1200,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kafr Jales,NA,NA,SY07,SY0700,SY070005,C3945,NA,NA,NA,NA,35.975873,36.614218,Multipurpose - One time,Earthquake,2,0,8,0,4,0,4,1,NA,0,8,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,الشلاش/Al Shlash,SY07,SY0700,SY070005,C3949,NA,CP001757,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,23,5,5,8,5,0,NA,2,21,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,NA,SY07,SY0700,SY070005,C3949,NA,NA,Ataa Alrahman Camp,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,13,0,59,15,16,15,13,1,NA,13,46,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1950,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,NA,SY07,SY0700,SY070005,C3949,NA,NA,Ataa Alrahman Camp,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,11,0,63,10,12,23,18,0,NA,0,63,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1650,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Khair  / خير,SY07,SY0700,SY070005,C3949,NA,CP000588,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,3,0,19,5,3,6,5,0,NA,3,16,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Khair  / خير,SY07,SY0700,SY070005,C3949,NA,CP000588,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,3,0,26,7,5,9,5,1,NA,0,26,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Tajmae 'Ahl mork / تجمع أهل مورك,SY07,SY0700,SY070005,C3949,NA,CP000975,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,31,6,7,9,9,1,NA,6,25,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Ainaa/ العيناء,SY07,SY0700,SY070005,C3949,NA,CP000970,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,29,6,4,7,12,1,NA,1,28,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Audi1/ العودة1,SY07,SY0700,SY070005,C3949,NA,CP000981,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,7,0,35,8,7,11,9,0,NA,6,29,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1050,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Audi1/ العودة1,SY07,SY0700,SY070005,C3949,NA,CP000981,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,7,0,44,9,7,17,11,1,NA,0,44,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1050,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Bashir/ البشير,SY07,SY0700,SY070005,C3949,NA,CP001517,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,13,0,56,10,16,11,19,2,NA,13,43,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1950,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Bashir/ البشير,SY07,SY0700,SY070005,C3949,NA,CP001517,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,20,0,123,27,27,33,36,2,NA,5,118,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3000,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Diaa 3(Kafruma) / الضياء 3(كفرومة),SY07,SY0700,SY070005,C3949,NA,CP001162,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,5,0,18,3,5,6,4,1,NA,5,13,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Diaa 3(Kafruma) / الضياء 3(كفرومة),SY07,SY0700,SY070005,C3949,NA,CP001162,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,27,5,5,8,9,0,NA,0,27,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Kandosh/ الكندوش,SY07,SY0700,SY070005,C3949,NA,CP000985,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,18,0,87,16,19,24,28,1,NA,18,69,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,2700,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Kandosh/ الكندوش,SY07,SY0700,SY070005,C3949,NA,CP000985,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,33,10,7,8,8,2,NA,0,33,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Omareen/ العمرين,SY07,SY0700,SY070005,C3949,NA,CP000982,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,12,0,56,10,14,9,23,1,NA,12,44,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1800,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Omareen/ العمرين,SY07,SY0700,SY070005,C3949,NA,CP000982,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,5,0,21,5,4,4,8,0,NA,0,21,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,الصداقة(كللي)/ Al Sadaka(Kelly),SY07,SY0700,SY070005,C3949,NA,CP001164,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,21,4,6,4,7,0,NA,6,15,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,الصداقة(كللي)/ Al Sadaka(Kelly),SY07,SY0700,SY070005,C3949,NA,CP001164,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,34,10,9,7,8,0,NA,0,34,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Sultan(Kelly)  /السلطان(كللي),SY07,SY0700,SY070005,C3949,NA,CP000859,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,21,0,115,23,22,35,35,1,NA,21,94,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Sultan(Kelly)  /السلطان(كللي),SY07,SY0700,SY070005,C3949,NA,CP000859,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,11,0,68,17,19,16,16,2,NA,0,68,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1650,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Taawun(Kelly) / التعاون(كللي),SY07,SY0700,SY070005,C3949,NA,CP001964,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,42,0,184,35,45,52,52,3,NA,42,142,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,6300,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Taawun(Kelly) / التعاون(كللي),SY07,SY0700,SY070005,C3949,NA,CP001964,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,40,0,185,42,41,47,55,5,NA,0,185,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,6000,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Wifak / الوفاق,SY07,SY0700,SY070005,C3949,NA,CP001165,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,5,0,27,5,5,8,9,0,NA,5,22,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Wifak / الوفاق,SY07,SY0700,SY070005,C3949,NA,CP001165,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,5,0,25,6,6,6,7,1,NA,0,25,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,الضياء 8/ Al_Diaa 8,SY07,SY0700,SY070005,C3949,NA,CP001158,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,18,5,4,5,4,0,NA,2,16,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,NA,SY07,SY0700,SY070005,C3949,NA,NA,Aladala Wa Altanmia Camp,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,12,0,55,11,12,20,12,0,NA,12,43,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1800,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Karkat  / الكركات,SY07,SY0700,SY070005,C3949,NA,CP000573,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,3,0,14,3,3,5,3,0,NA,3,11,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Karkat  / الكركات,SY07,SY0700,SY070005,C3949,NA,CP000573,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,25,4,5,7,9,0,NA,0,25,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Rahma 1  / الرحمة 1,SY07,SY0700,SY070005,C3949,NA,CP000570,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,2,0,14,3,3,6,2,0,NA,2,12,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Rahma 1  / الرحمة 1,SY07,SY0700,SY070005,C3949,NA,CP000570,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,7,0,41,7,8,15,11,0,NA,0,41,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1050,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Rahma 2  / الرحمة 2,SY07,SY0700,SY070005,C3949,NA,CP000571,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,3,0,12,3,2,3,4,0,NA,3,9,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al-Rahma 2  / الرحمة 2,SY07,SY0700,SY070005,C3949,NA,CP000571,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,13,0,80,16,24,19,21,2,NA,0,80,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1950,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
